date,1. open,2. high,3. low,4. close,5. volume
2025-08-15,181.8800,181.9000,178.0417,180.4500,156602161
2025-08-14,179.7500,183.0200,179.4600,182.0200,129553959
2025-08-13,182.6150,183.9700,179.3500,181.5900,179871724
2025-08-12,182.9600,184.4800,179.4600,183.1600,145729202
2025-08-11,182.0500,183.8400,180.2500,182.0600,138323191
2025-08-08,181.5500,183.3000,180.4000,182.7000,123396679
2025-08-07,181.5700,183.8800,178.7950,180.7700,151878365
2025-08-06,176.3250,179.9000,176.2500,179.4200,137192265
2025-08-05,179.6200,180.2600,175.9000,178.2600,156407621
2025-08-04,175.1600,180.2000,174.5200,180.0000,148174609
2025-08-01,174.0900,176.5400,170.8900,173.7200,204528985
2025-07-31,182.9000,183.3000,175.9300,177.8700,221685446
2025-07-30,176.5100,179.8900,176.0400,179.2700,174312208
2025-07-29,177.9600,179.3800,175.0200,175.5100,154077512
2025-07-28,174.0200,177.0000,173.9700,176.7500,140023521
2025-07-25,173.6100,174.7200,172.9600,173.5000,122316792
2025-07-24,172.4400,173.8300,171.3000,173.7400,128984628
2025-07-23,169.5300,171.2600,167.9700,170.7800,154082197
2025-07-22,171.3400,171.3900,164.5800,167.0300,193114327
2025-07-21,172.7500,173.3800,171.0000,171.3800,123126136
2025-07-18,173.6400,174.2500,171.2600,172.4100,146456416
2025-07-17,172.0200,174.1600,170.8300,173.0000,160841119
2025-07-16,171.0600,171.7500,168.9000,171.3700,158831509
2025-07-15,171.1900,172.4000,169.1950,170.7000,230627350
2025-07-14,165.3700,165.4900,162.0200,164.0700,136975754
2025-07-11,163.7150,167.8900,163.4700,164.9200,193633263
2025-07-10,164.3200,164.5000,161.6100,164.1000,167704075
2025-07-09,161.2200,164.4200,161.1600,162.8800,183656443
2025-07-08,159.3300,160.2200,158.3900,160.0000,138133025
2025-07-07,158.2000,159.3100,157.3420,158.2400,140138975
2025-07-03,158.3700,160.9800,157.7700,159.3400,143716055
2025-07-02,152.9800,157.6000,152.9700,157.2500,171224111
